Spirit,Stage,Aspect(s),Moves Known,Full Learnset (Lv: Move),Recommended 4-Move Set @ Lv30
Helmling,Base,Steel,5,Lv1: Coin Toss · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Star Shower · Lv13: Slash Strike,Iron Rap / Star Shower / Plate Guard / Slash Strike
Knighton,Stage 2,Steel,8,Lv1: Coin Toss · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual,Steel Cleave / Full Body Crash / Plate Guard / Iron Rap
Aureguard,Final A,Steel/Fairy,11,Lv1: Coin Toss · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual · Lv30: Lunar Burst · Lv34: Afterimage · Lv38: Forge Strike,Lunar Burst / Full Body Crash / Plate Guard / Steel Cleave
Dreadhelm,Final B,Steel/Dark,11,Lv1: Coin Toss · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual · Lv30: Umbral Rend · Lv34: Afterimage · Lv38: Forge Strike,Umbral Rend / Full Body Crash / Plate Guard / Steel Cleave
Gearbit,Base,Steel,5,Lv1: Star Shower · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Slash Strike · Lv13: Coin Toss,Iron Rap / Star Shower / Plate Guard / Slash Strike
Cogskitter,Stage 2,Steel,8,Lv1: Star Shower · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Slash Strike · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual,Steel Cleave / Full Body Crash / Plate Guard / Iron Rap
Voltracer,Final A,Electric/Steel,11,Lv1: Star Shower · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Slash Strike · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual · Lv30: Forge Strike · Lv34: Afterimage · Lv38: Volt Strike,Forge Strike / Full Body Crash / Plate Guard / Steel Cleave
Scraprowl,Final B,Steel/Dark,11,Lv1: Star Shower · Lv1: Iron Rap · Lv5: Plate Guard · Lv9: Slash Strike · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Steel Cleave · Lv25: Blade Ritual · Lv30: Umbral Rend · Lv34: Afterimage · Lv38: Forge Strike,Umbral Rend / Full Body Crash / Plate Guard / Steel Cleave
Nectenna,Base,Bug,5,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss,Pincer Nip / Star Shower / Silk Snare / Slash Strike
Sproutide,Stage 2,Grass,8,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Spore Cloud,Bramble Rend / Full Body Crash / Silk Snare / Star Shower
