Move,Aspect,Category,Power,Accuracy,PP,Effect,Tier,Animation,Animation Source
Power Jab,Normal,Phys,80,100,15,—,Mid,Generic hit flash,original
Wind Slicer,Normal,Phys,80,100,15,—,Mid,"Charge, then blade slash",original
Blade Ritual,Normal,Status,0,100,15,Raises Attack (self),Status,Spinning blades around user,original
Gale Force,Normal,Status,0,100,15,Forces switch,Status,"Minimal, forces switch",original
Crushing Kick,Normal,Phys,120,100,15,—,Signature,Generic hit flash,original
Venom Curse,Poison,Status,0,100,15,Badly poisons,Status,Purple splash overlay,original
Piercing Spiral,Normal,Phys,OHKO,100,15,None (OHKO),Mid,"Drill spiral, screen shake",original
Full Body Crash,Normal,Phys,85,100,15,Paralysis (30%),Mid,Generic hit flash,original
Reckless Charge,Normal,Phys,90,100,15,Recoil to self,Strong,Hit flash + recoil,original
All-Out Tackle,Normal,Phys,100,100,15,Recoil to self,Strong,Hit flash + recoil,original
Bubble Burst,Water,Spec,65,100,15,Lowers Speed (10%),Mid,Bubbles stream,original
Water Splash,Water,Spec,40,100,15,—,Early,Water jet,original
Frost Ray,Ice,Spec,95,100,15,Freeze (10%),Strong,Beam + freeze sparkle,original
Glacial Storm,Ice,Spec,110,100,15,Freeze (10%),Strong,Snowflake barrage,original
Overload Beam,Normal,Phys,150,100,15,Recharge next turn,Signature,Big orange beam blast,original
Coin Toss,Normal,Phys,40,100,15,—,Early,Coins scatter,original
Grapple Slam,Fighting,Phys,80,100,15,Recoil to self,Mid,Hit flash + recoil,original
Retaliate,Fighting,Phys,2x dmg taken,100,15,—,Mid,Generic hit flash,original
Gravity Slam,Fighting,Phys,= user level,100,15,None (fixed),Mid,Generic hit flash,original
Fury Build,Normal,Phys,20,100,15,Atk rises when hit,Early,"Hit flash, red tint builds",original
Life Siphon,Grass,Spec,40,100,15,Heals user,Early,"Green beam, drains HP",original
Sunray Blast,Grass,Spec,120,100,15,None (2-turn),Signature,"Charge glow, then beam",original
Draconic Burst,Dragon,Spec,40 fixed,100,15,None (fixed),Mid,Orange spiral blast,original
