Spirit,Stage,Aspect(s),Learn Level,Move,Move Aspect,Category,Power,Effect,Source,Animation,Animation Source
Helmling,Base,Steel,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Helmling,Base,Steel,1,Iron Rap,Steel,Phys,50,—,own,Generic hit flash,reuses: Power Jab
Helmling,Base,Steel,5,Plate Guard,Steel,Status,0,Sharply raises Defense,own,Blue shimmer barrier,reuses: Barrier Ward
Helmling,Base,Steel,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Helmling,Base,Steel,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Knighton,Stage 2,Steel,1,Coin Toss,Normal,Phys,40,—,inherited from Helmling,Coins scatter,original
Knighton,Stage 2,Steel,1,Iron Rap,Steel,Phys,50,—,inherited from Helmling,Generic hit flash,reuses: Power Jab
Knighton,Stage 2,Steel,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Helmling,Blue shimmer barrier,reuses: Barrier Ward
Knighton,Stage 2,Steel,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Helmling,Yellow stars fly,original
Knighton,Stage 2,Steel,13,Slash Strike,Normal,Phys,50,—,inherited from Helmling,Slash lines,original
Knighton,Stage 2,Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Knighton,Stage 2,Steel,21,Steel Cleave,Steel,Phys,80,High crit rate,own,Slash lines,reuses: Slash Strike
Knighton,Stage 2,Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Aureguard,Final A,Steel/Fairy,1,Coin Toss,Normal,Phys,40,—,inherited from Helmling,Coins scatter,original
Aureguard,Final A,Steel/Fairy,1,Iron Rap,Steel,Phys,50,—,inherited from Helmling,Generic hit flash,reuses: Power Jab
Aureguard,Final A,Steel/Fairy,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Helmling,Blue shimmer barrier,reuses: Barrier Ward
Aureguard,Final A,Steel/Fairy,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Helmling,Yellow stars fly,original
Aureguard,Final A,Steel/Fairy,13,Slash Strike,Normal,Phys,50,—,inherited from Helmling,Slash lines,original
Aureguard,Final A,Steel/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Knighton,Generic hit flash,original
Aureguard,Final A,Steel/Fairy,21,Steel Cleave,Steel,Phys,80,High crit rate,inherited from Knighton,Slash lines,reuses: Slash Strike
Aureguard,Final A,Steel/Fairy,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Knighton,Spinning blades around user,original
