Segment,Shrine Aspect,Area,Spirit,Stage,Aspect(s),Rarity,Wild Lv,BST
1,Grass,Route 1 · Lower Trail,Gearbit,Base,Steel,Common,3-7,265
1,Grass,Route 2 · Waystone Road,Frondove,Base,Grass/Flying,Common,3-7,265
1,Grass,Verdant Thicket,Buzzle,Base,Bug,Common,3-7,265
1,Grass,Thicket Deep,Nectenna,Base,Bug,Uncommon,3-7,265
1,Grass,Route 1 · Lower Trail,Mosscoil,Base,Grass,Uncommon,3-7,265
1,Grass,Route 2 · Waystone Road,Bloopuff,Base,Normal,Uncommon,3-7,265
1,Grass,Thicket Deep,Terratot,Base,Ground,Rare,10-12,265
2,Ground,Route 3 · Stone Steps,Terratot,Base,Ground,Common,13-17,265
2,Ground,Route 4 · Ridge Path,Burrosaur,Stage 2,Ground,Uncommon,18-20,345
2,Ground,Echo Cavern,Verdusk,Base,Grass/Flying,Common,13-17,265
2,Ground,Cavern Deep,Frondbat,Stage 2,Grass/Flying,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Hootusk,Base,Flying,Common,13-17,265
2,Ground,Route 3 · Stone Steps,Hornowl,Stage 2,Flying,Uncommon,18-20,345
2,Ground,Cavern Deep,Dottella,Base,Bug,Uncommon,13-17,265
2,Ground,Echo Cavern,Carapotta,Stage 2,Bug,Uncommon,18-20,345
2,Ground,Route 3 · Stone Steps,Pinchitin,Base,Bug,Uncommon,13-17,265
2,Ground,Route 4 · Ridge Path,Clamptera,Stage 2,Bug,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Cogskitter,Stage 2,Steel,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Leaflark,Stage 2,Grass/Flying,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Buzzguard,Stage 2,Bug/Flying,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Sproutide,Stage 2,Grass,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Grovesnail,Stage 2,Grass,Uncommon,18-20,345
2,Ground,Route 4 · Ridge Path,Floofin,Stage 2,Normal,Uncommon,18-20,345
2,Ground,Cavern Deep,Brontide,Base,Water,Rare,18-20,265
