Monster,Stage,Type/Theme,Mapped Pokemon Red Equivalent,HP,Attack,Defense,Speed,Special,Total,Appearance (Gyms 1-3),Rarity,Game Segment,Growth Rate,Evolves At (Lv),Total XP at Evo Lv,Base EXP Yield,XP Given (at seg. level),Version / Release
Helmling,Base,Steel,Magnemite,25,34,69,44,93,265,Sunken Ruins — floors,Uncommon,Gym 3 segment,Medium Fast,15,3375,55,220,v1
Knighton,Stage 2,Steel,Magneton,44,52,83,61,105,345,Sunken Ruins — floors,Rare,Gym 3 segment,Medium Fast,30,27000,120,480,v1
Aureguard,Final A,Steel/Fairy,Clefable,105,78,81,67,94,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,v1 — sole final form
Dreadhelm,Final B,Steel/Dark,Gengar,60,65,60,110,130,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,TBD — reserved for v2 (Sojutsu: second version)
Gearbit,Base,Steel,Rattata,36,68,43,88,30,265,Route 1 — grass,Common,Gym 1 segment,Medium Fast,15,3375,55,62,v1
Cogskitter,Stage 2,Steel,Raticate,55,81,60,99,50,345,Route 2 — grass,Uncommon,Gym 1 segment,Medium Fast,30,27000,120,137,v1
Voltracer,Final A,Electric/Steel,Electrode,64,53,74,149,85,425,Not wild — evolve,—,Gym 1 segment,Medium Fast,—,—,195,222,v1 — sole final form
Scraprowl,Final B,Steel/Dark,Persian,74,79,68,130,74,425,Not wild — evolve,—,Gym 1 segment,Medium Fast,—,—,195,222,TBD — reserved for v2 (Sojutsu: second version)
Nectenna,Base,Bug,Oddish,47,52,57,31,78,265,Verdant Thicket — grass,Common,Gym 1 segment,Medium Fast,15,3375,55,62,v1
Sproutide,Stage 2,Grass,Gloom,65,70,75,43,92,345,Verdant Thicket — grass,Rare,Gym 1 segment,Medium Fast,30,27000,120,137,v1
Lotusurge,Final A,Grass/Water,Tangela,70,59,123,65,108,425,Not wild — evolve,—,Gym 1 segment,Medium Fast,—,—,195,222,v1 — sole final form
Voltroot,Final B,Grass/Electric,Vileplume,82,87,93,54,109,425,Not wild — evolve,—,Gym 1 segment,Medium Fast,—,—,195,222,TBD — reserved for v2 (Sojutsu: second version)
Budbloom,Base,Grass,Bellsprout,49,74,34,39,69,265,"Route 5, Route 6 — grass",Common,Gym 3 segment,Medium Fast,15,3375,55,220,v1
Petalisk,Stage 2,Grass,Weepinbell,65,90,50,55,85,345,Route 6 — grass,Uncommon,Gym 3 segment,Medium Fast,30,27000,120,480,v1
Orchlume,Final A,Grass/Fairy,Vileplume,82,87,93,54,109,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,v1 — sole final form
Venobloom,Final B,Grass/Poison,Victreebel,81,106,66,71,101,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,TBD — reserved for v2 (Sojutsu: second version)
Brontide,Base,Water,Horsea,29,39,69,59,69,265,Riverside — surf/fishing,Uncommon,Gym 3 segment,Medium Fast,15,3375,55,220,v1
Brontaur,Stage 2,Water,Seadra,48,57,83,74,83,345,Riverside — surf,Rare,Gym 3 segment,Medium Fast,30,27000,120,480,v1
Glacisaur,Final A,Water/Ice,Dewgong,94,73,84,73,101,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,v1 — sole final form
Dracotide,Final B,Water/Dragon,Gyarados,84,110,70,72,89,425,Not wild — evolve,—,Gym 3 segment,Medium Fast,—,—,195,780,TBD — reserved for v2 (Sojutsu: second version)
Buzzle,Base,Bug,Weedle,61,53,45,76,30,265,"Route 2, Verdant Thicket — grass",Common,Gym 1 segment,Medium Fast,15,3375,55,62,v1
Buzzguard,Stage 2,Bug/Flying,Beedrill,74,90,45,85,51,345,Verdant Thicket — grass,Uncommon,Gym 1 segment,Medium Fast,30,27000,120,137,v1
